,ITSA3,Itausa - Investimentos Itau S.A.,"11,50","11,51","11,51","0,01","0,09%"
,ITUB3,Itau Unibanco Holding S.A.,"24,98","25,10","25,21","0,23","0,92%"
,BBDC3,Banco Bradesco S.A.,"20,04","20,02","20,32","0,28","1,40%"
,PETR3,Petroleo Brasileiro S.A.,"22,85","22,84","23,64","0,79","3,46%"
,VALE3,Vale S.A.,"57,65","57,92","61,70","4,05","7,03%"
,GGBR4,Gerdau S.A.,"16,26","16,31","16,60","0,34","2,09%"
,ABEV3,Ambev S.A.,"14,00","14,02","13,91","-0,09","-0,64%"
,CIEL3,Cielo S.A.,"4,98","4,97","4,90","-0,08","-1,61%"
,SAN,Banco Santander S.A.,"2,48","2,46","2,51","0,03","1,21%"
,SW,Sodexo S.A.,"11,77","11,95","11,86","0,09","0,76%"
,SNCA,"Seneca Biopharma, Inc.","0,76","0,75","0,73","-0,03","-4,38%"
,IDR,"Indra Sistemas, S.A.","12,70","12,61","12,64","-0,06","-0,47%"
,BBAS3,Banco do Brasil S.A.,"33,80","33,83","34,35","0,55","1,63%"
,ARCO,Arcos Dorados Holdings Inc.,"4,80","4,77","4,78","-0,02","-0,42%"
,KO,The Coca-Cola Company,"45,25","44,91","45,87","0,62","1,37%"
,CEAB3,C&A Modas S.A.,"11,46","11,46","11,20","-0,26","-2,27%"
,NTDOY,"Nintendo Co., Ltd.","56,70","56,10","56,39","-0,31","-0,55%"
,SNE,Sony Corporation,"74,36","73,39","74,52","0,16","0,22%"
,MSFT,Microsoft Corporation,"207,07","206,13","208,35","1,28","0,62%"
,AAPL,Apple Inc.,"381,91","379,36","388,23","6,32","1,65%"
,GOOG,Alphabet Inc.,"1511,34","1490,31","1520,58","9,24","0,61%"
,AMZN,Amazon.com,"3104,00","3089,00","3084,00","-20,00","-0,64%"